gauge_id,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,carbonate_rocks_frac,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,elev_mean,slope_mean,area_gages2,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff
01022500,3.60812594113621,2.1192559479808404,-0.11452958649139501,0.24525900924827101,0.587356423405076,20.55,1.2052785923753702,233.65,3.66222570532915,0.0,-14.2138,17.4128078817734,1.49184551626462,0.41590548647890596,2.37500506296918,0.62622887793281,59.390156162065296,28.0809367005555,12.0376458109105,92.68,17.79072,573.6,0.9232,4.87139243857226,3.74669161645587,0.863935769102455,0.337712461949305
01031500,3.5229568788501,2.07132369609856,0.104090599122482,0.29183647300195803,0.587950340389816,18.9,1.14893617021277,227.35,3.4736440030557696,0.0262579789051996,-14.841,7.25255704169945,1.27904687474352,0.450235950413386,1.37329168013829,0.559122720432494,35.2690304364436,50.8412317295135,12.6541253158485,247.8,29.56035,769.05,0.9548,4.90325937325786,3.9908434064274902,0.8706684920474829,0.39861940237911603
01047000,3.32314579055441,2.0900238740588604,0.14777561376186701,0.280118126940736,0.628929335570973,20.1,1.16521739130435,235.9,3.6917057902973394,0.0,-14.4819,5.359654943596549,1.39277854918445,0.422748958879878,2.6151542832626604,0.561180826371744,55.1631334746983,34.1854433554704,10.3036221035119,310.38,49.92122,909.1,0.9906,5.08681076518099,4.30097838703039,0.891382765097595,0.445473208395092
01052500,3.73085831622177,2.09642323066393,0.15209680276954302,0.352698254049326,0.561914458543945,13.5,1.12970711297071,193.5,2.89670658682635,0.0,-15.1658,1.30134932533733,1.4948074343800601,0.452325651168738,1.2629953735913602,0.615537987322707,30.5576662241128,52.614646019841004,11.143326005799802,615.7,60.05183,383.82,1.0,4.800829961543711,4.124312700062471,0.880034058274384,0.477327929873011
01054200,4.06713210130048,2.12835505817933,0.10495963464074198,0.299641539662879,0.5233061049329529,17.5,1.19453924914676,220.3,3.2637037037037,0.0,-14.2147,0.9147540983606559,1.47744219768239,0.418460872964329,2.9191424833147095,0.594525957550057,58.3761691803075,31.836471998585896,9.8512616206335,472.31,90.13951,180.98,1.0,5.01982728305181,4.2835513200182405,0.886711470649713,0.455084304988135
01055000,3.49418343600274,2.09323529089665,0.167229040772146,0.306048851694867,0.5990627937070351,19.15,1.1676829268292699,224.85,3.3786626596544,0.0,-14.3578,2.12705882352941,1.36965658300731,0.42402586840363504,2.5500012585273195,0.547020626891466,53.862011091270396,34.7344920848497,10.34632346892,423.12,72.81304,250.64,0.9916,5.030032986566179,4.3192258704079505,0.8861634541546759,0.471431451538885
01057000,3.57049965776865,2.13274377823409,0.07913684920672,0.251157672769098,0.597323619284961,20.35,1.1695402298850601,239.3,3.7478465152701603,0.0774334159306445,-13.9903,3.7591463414634103,1.50000001490116,0.40411793286797704,4.030392332427399,0.61710021345834,69.00673809241529,22.943292379156603,7.81756497511796,215.59,32.68445,190.92,0.9415,5.36294869870711,4.587077126683759,0.9055104805136651,0.4587420090363529
01073000,3.5030253251197796,2.20761571526352,0.0303700126107958,0.17503243505174,0.63020261356176,20.85,1.22647058823529,249.0,4.01612903225806,0.0,-14.1,19.9090909090909,1.3056196174288701,0.41639653987273106,2.94867050569366,0.510061723029111,56.5709613142528,29.1550562566009,9.96726611619389,37.67,4.750430000000001,31.3,0.9008,4.943949743325691,4.03508797625448,0.841420652113803,0.37914418264828004
01078000,3.56288843258042,2.18414457221081,0.110482096549246,0.23971852199070998,0.6130263727143841,21.45,1.17213114754098,234.5,3.6160370084811095,0.0,-14.1061,3.6397849462365603,1.50000001490116,0.403892619500314,4.0254007653273,0.618975202618634,69.1574064409555,22.8062778913522,7.848279333866791,346.92,49.77182,222.46,0.9873,5.391687137019019,4.5052987730933305,0.898650642821055,0.42491137614853397
01123000,3.82424229979466,2.30633352498289,-0.00119003057174594,0.136053399026134,0.6030824786145811,21.15,1.2332361516035,241.1,3.8793242156074,0.0,-14.1,9.08510638297872,1.50000001490116,0.417122770109298,3.0794595356936196,0.533849747401982,52.74689478650661,27.5346380783073,8.689368206003639,120.1,17.14893,77.85,0.9141,5.40309665265931,4.80614370212756,0.9074072310690001,0.506890047828686
